date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2021-12-31,2021-12-31,KVUE,411000000,0.22,1888972560,3733000000,693000000,20399000000,258000000,-482000000,740000000,886000000,1009000000,10.798992230993552,0.02014804647286632,0.015794327876412266,0.02942210172214691,0.012647678807784696
2022-10-02,2022-10-02,KVUE,586000000,0.34,1716000000,3782000000,890000000,18927000000,129000000,-668000000,797000000,633000000,736000000,11.02972027972028,0.030961060918264914,0.02145262849611949,0.019771071800208116,0.0068156601680139485
2023-01-01,2023-01-01,KVUE,361000000,0.0,1716640000,3764000000,678000000,19970000000,9046000000,7815000000,1231000000,485000000,644000000,11.633190418491937,0.018077115673510266,0.010141873858688017,0.016907328232590564,0.4529794692038057
2023-04-02,2023-04-02,KVUE,469000000,0.27,1716000000,3852000000,762000000,20282000000,7793000000,6102000000,1691000000,747000000,802000000,11.819347319347319,0.023123952272951387,0.01702853823251761,0.017649526293262573,0.38423232422837983
2023-06-30,2023-06-30,KVUE,430000000,0.22,1914894444,4011000000,840000000,11040000000,8603000000,7372000000,1231000000,665000000,742000000,5.76533084347912,0.03894927536231884,0.01588063670273664,0.027855300612198288,0.7792572463768116
2023-12-31,2024-03-01,KVUE,327000000,0.17,1915057047,3666000000,735000000,11211000000,8427000000,7045000000,1382000000,727000000,950000000,5.8541337019502375,0.02916778164302917,0.011741050590643065,0.02814730186553149,0.7516724645437517
2024-03-31,2024-05-09,KVUE,296000000,0.15,1915000000,3894000000,685000000,10621000000,8697000000,7542000000,1155000000,134000000,287000000,5.54621409921671,0.027869315507014405,0.010849246783711469,0.02045695749433216,0.8188494492044064
2024-06-30,2024-08-06,KVUE,58000000,0.0303,1915000000,4000000000,312000000,10178000000,8606000000,7592000000,1014000000,350000000,440000000,5.3148825065274155,0.005698565533503635,0.0021933971183299926,0.008586641270940651,0.8455492238160739
2024-09-29,2024-11-07,KVUE,383000000,0.2,1915000000,3899000000,855000000,10644000000,8827000000,7770000000,1057000000,190000000,249000000,5.55822454308094,0.03598271326568959,0.014224698235840298,0.024259949149533763,0.829293498684705
2024-12-29,2025-02-24,KVUE,293000000,0.15,1916000000,3662000000,644000000,9668000000,8719000000,7649000000,1070000000,661000000,793000000,5.045929018789144,0.03030616466694249,0.011444865434943947,0.024157156538013865,0.901841125362019
2025-03-30,2025-05-08,KVUE,322000000,0.17,1914000000,3741000000,701000000,10053000000,8853000000,7796000000,1057000000,249000000,428000000,5.252351097178684,0.032030239729434,0.012263396427619302,0.0222548643753604,0.8806326469710534
2025-06-29,2025-08-07,KVUE,420000000,0.22,1917000000,3839000000,837000000,10730000000,8744000000,7674000000,1070000000,533000000,621000000,5.597287428273344,0.0391425908667288,0.015479876160990712,0.026973949762473998,0.8149114631873252
